Category,Feature/Component,Description,Estimated Hours,Notes
Project Setup,Initial Project Setup,CLI tool development and project scaffolding,1,"Custom CLI with commander, template copying, package.json processing"
Project Setup,Next.js Configuration,Next.js config with SCSS and path aliases,0.5,"next.config.ts with sass options, webpack aliases, turbopack aliases"
Project Setup,TypeScript Configuration,Type definitions and tsconfig setup,0.5,"Next.js types, static file declarations, translation enums"
Project Setup,Package Management,Dependencies and scripts configuration,0.5,"Dev server, build, lint, plop generator, deployment commands"

Development Tools,ESLint Configuration,Code quality and linting setup,0.5,"ESLint flat config with TypeScript and React rules"
Development Tools,PostCSS Configuration,CSS processing pipeline,0.25,"PostCSS config for Next.js"
Development Tools,Scripts Development,Utility scripts for development workflow,1,"SVG generation, log removal, translation sync"
Development Tools,Plop Code Generator,Automated code scaffolding,1,"Component, screen, hook, utility, and icon generators with templates"

Translation System,i18n Setup,Internationalization framework implementation,1,"React-i18next integration, language detection, RTL support"
Translation System,Translation Management,Dynamic translation loading and caching,0.75,"Google Sheets integration, async storage caching"
Translation System,Locale Configuration,Language files and localization setup,0.5,"English/Arabic support, dayjs localization"
Translation System,Translation Scripts,Automation for translation workflow,0.75,"Sync scripts, CSV generation, auto-translation tools"

Routing & Pages,Next.js App Router Setup,File-based routing with App Router,0.75,"Layouts, loading states, error boundaries, not-found page"
Routing & Pages,Root Layout,Global layout with fonts and metadata,0.5,"Geist font integration, global SCSS import, metadata configuration"
Routing & Pages,Landing Page,Public-facing home page,0.5,"Main landing page with initial content"
Routing & Pages,Dashboard Page,Authenticated dashboard page,0.5,"Dashboard layout and page setup"
Routing & Pages,Auth Pages,Authentication flow pages,1,"Login, signup, forgot password, welcome screens"
Routing & Pages,API Routes,Server-side API route handlers,0.5,"Next.js route handlers in app/api directory"

State Management,Redux Store Setup,Global state management configuration,0.75,"Store setup, reducers, middleware configuration"
State Management,Auth Reducer,Authentication state management,0.5,"Login state, user data, token management"
State Management,App Reducer,Application-wide state management,0.5,"Theme, settings, app-wide data"
State Management,RTK Query Integration,API state management and caching,0.75,"API endpoints, caching, error handling"

SCSS Styling System,Colors System,Color palette with SCSS variables,0.5,"Brand colors, theme variables in _colors.scss"
SCSS Styling System,Typography System,Font definitions and mixins,0.5,"Font family setup, size scales in _fonts.scss"
SCSS Styling System,Mixins & Utilities,Reusable SCSS mixins,0.25,"Responsive mixins, layout helpers in _mixins.scss"
SCSS Styling System,Global Styles,Base styles and resets,0.25,"Global SCSS with CSS custom properties"

UI Components - Atoms,Button Component,Reusable button with variants,0.5,"Primary, outlined, underlined variants with theming"
UI Components - Atoms,Text Component,Themed text component,0.5,"Typography system, color variants, auto-translation support"
UI Components - Atoms,Input Component,Form input with validation,0.5,"Text input, search input with styling"
UI Components - Atoms,Icon Component,SVG icon system,0.5,"Icon wrapper, size variants, color theming"
UI Components - Atoms,Image Component,Optimized image component,0.25,"Next.js Image wrapper with loading states"
UI Components - Atoms,Loading Component,Loading indicators,0.25,"Activity indicators and loading states"
UI Components - Atoms,Logo Component,Brand logo component,0.25,"Scalable logo with theming support"
UI Components - Atoms,AccordionItem,Collapsible content component,0.5,"Expandable/collapsible sections"
